timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685050847445,26,SignIn,200,OK,Application 1-6,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847453,27,MainPage,200,OK,Application 1-1,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847452,28,MainPage,200,OK,Application 1-3,text,true,,891,122,6,6,http://194.47.178.234:8081/,27,0,0
1685050847453,27,MainPage,200,OK,Application 1-2,text,true,,891,122,6,6,http://194.47.178.234:8081/,27,0,0
1685050847452,28,SignIn,200,OK,Application 1-5,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847463,27,SignIn,200,OK,Application 1-4,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847471,25,MainPage,200,OK,Application 1-6,text,true,,891,122,7,7,http://194.47.178.234:8081/,25,0,0
1685050847480,27,SignIn,200,OK,Application 1-2,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847480,27,SignIn,200,OK,Application 1-3,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847480,27,SignIn,200,OK,Application 1-1,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847481,26,MainPage,200,OK,Application 1-5,text,true,,891,122,7,7,http://194.47.178.234:8081/,26,0,0
1685050847490,26,MainPage,200,OK,Application 1-4,text,true,,891,122,7,7,http://194.47.178.234:8081/,25,0,0
1685050847497,26,SignIn,200,OK,Application 1-6,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847508,27,MainPage,200,OK,Application 1-2,text,true,,891,122,7,7,http://194.47.178.234:8081/,27,0,0
1685050847508,27,MainPage,200,OK,Application 1-3,text,true,,891,122,7,7,http://194.47.178.234:8081/,27,0,0
1685050847508,27,SignIn,200,OK,Application 1-5,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847508,28,MainPage,200,OK,Application 1-1,text,true,,891,122,7,7,http://194.47.178.234:8081/,28,0,0
1685050847489,52,MainPage,200,OK,Application 1-7,text,true,,891,122,7,7,http://194.47.178.234:8081/,52,0,26
1685050847516,26,SignIn,200,OK,Application 1-4,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847524,27,MainPage,200,OK,Application 1-6,text,true,,891,122,7,7,http://194.47.178.234:8081/,27,0,0
1685050847536,27,MainPage,200,OK,Application 1-5,text,true,,891,122,7,7,http://194.47.178.234:8081/,27,0,0
1685050847536,27,SignIn,200,OK,Application 1-2,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847537,29,SignIn,200,OK,Application 1-1,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,29,0,0
1685050847536,31,SignIn,200,OK,Application 1-3,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,31,0,0
1685050847541,27,SignIn,200,OK,Application 1-7,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847543,26,MainPage,200,OK,Application 1-4,text,true,,891,122,7,7,http://194.47.178.234:8081/,25,0,0
1685050847551,27,SignIn,200,OK,Application 1-6,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847565,27,MainPage,200,OK,Application 1-2,text,true,,891,122,7,7,http://194.47.178.234:8081/,27,0,0
1685050847564,28,SignIn,200,OK,Application 1-5,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,28,0,0
1685050847567,28,MainPage,200,OK,Application 1-1,text,true,,891,122,8,8,http://194.47.178.234:8081/,27,0,0
1685050847567,28,MainPage,200,OK,Application 1-3,text,true,,891,122,8,8,http://194.47.178.234:8081/,28,0,0
1685050847568,27,MainPage,200,OK,Application 1-7,text,true,,891,122,8,8,http://194.47.178.234:8081/,27,0,0
1685050847569,27,SignIn,200,OK,Application 1-4,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847578,26,MainPage,200,OK,Application 1-6,text,true,,891,122,8,8,http://194.47.178.234:8081/,26,0,0
1685050847593,28,MainPage,200,OK,Application 1-5,text,true,,891,122,8,8,http://194.47.178.234:8081/,28,0,0
1685050847593,28,SignIn,200,OK,Application 1-2,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,28,0,0
1685050847595,30,SignIn,200,OK,Application 1-3,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,30,0,0
1685050847595,30,SignIn,200,OK,Application 1-1,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,30,0,0
1685050847595,31,SignIn,200,OK,Application 1-7,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,31,0,0
1685050847597,29,MainPage,200,OK,Application 1-4,text,true,,891,122,8,8,http://194.47.178.234:8081/,29,0,0
1685050847604,26,SignIn,200,OK,Application 1-6,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847621,26,SignIn,200,OK,Application 1-5,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847621,26,MainPage,200,OK,Application 1-2,text,true,,891,122,8,8,http://194.47.178.234:8081/,26,0,0
1685050847598,51,MainPage,200,OK,Application 1-8,text,true,,891,122,8,8,http://194.47.178.234:8081/,51,0,26
1685050847626,26,MainPage,200,OK,Application 1-7,text,true,,891,122,8,8,http://194.47.178.234:8081/,26,0,0
1685050847626,26,SignIn,200,OK,Application 1-4,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847626,27,MainPage,200,OK,Application 1-3,text,true,,891,122,8,8,http://194.47.178.234:8081/,27,0,0
1685050847626,28,MainPage,200,OK,Application 1-1,text,true,,891,122,8,8,http://194.47.178.234:8081/,28,0,0
1685050847630,26,MainPage,200,OK,Application 1-6,text,true,,891,122,8,8,http://194.47.178.234:8081/,26,0,0
1685050847647,26,MainPage,200,OK,Application 1-5,text,true,,891,122,8,8,http://194.47.178.234:8081/,26,0,0
1685050847647,26,SignIn,200,OK,Application 1-2,text,true,,891,130,8,8,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847650,25,SignIn,200,OK,Application 1-8,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,25,0,0
1685050847652,28,SignIn,200,OK,Application 1-7,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,28,0,0
1685050847652,28,MainPage,200,OK,Application 1-4,text,true,,891,122,7,7,http://194.47.178.234:8081/,28,0,0
1685050847654,26,SignIn,200,OK,Application 1-1,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847653,27,SignIn,200,OK,Application 1-3,text,true,,891,130,7,7,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847656,27,SignIn,200,OK,Application 1-6,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847674,26,SignIn,200,OK,Application 1-5,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847676,26,MainPage,200,OK,Application 1-8,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847681,25,SignIn,200,OK,Application 1-4,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,25,0,0
1685050847681,25,MainPage,200,OK,Application 1-7,text,true,,891,122,6,6,http://194.47.178.234:8081/,25,0,0
1685050847683,26,MainPage,200,OK,Application 1-6,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847701,26,MainPage,200,OK,Application 1-5,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847702,26,SignIn,200,OK,Application 1-8,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
